date,Pasture,Biomass,Year,NDVI,CP,BARE,SD,GREEN,LITT,NDVI_raw_x,Biomass_raw_x,NDVI_raw_y,Biomass_raw_y,NDVI_raw,Biomass_raw
2099-01-08,12C,640.0,long-term avg.,0.134,,,,,,,,,,,
2099-01-08,12NW,626.0,long-term avg.,0.13,,,,,,,,,,,
2099-01-08,12NWcorner,560.0,long-term avg.,0.169,,,,,,,,,,,
2099-01-08,12SE-N,684.0,long-term avg.,0.114,,,,,,,,,,,
2099-01-08,13E,827.0,long-term avg.,0.141,,,,,,,,,,,
2099-01-08,13W,717.0,long-term avg.,0.137,,,,,,,,,,,
2099-01-08,15E,942.0,long-term avg.,0.131,,,,,,,,,,,
2099-01-08,17N,989.0,long-term avg.,0.13,,,,,,,,,,,
2099-01-08,18N,985.0,long-term avg.,0.142,,,,,,,,,,,
2099-01-08,19N,1035.0,long-term avg.,0.147,,,,,,,,,,,
2099-01-08,1E,720.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-08,1W,699.0,long-term avg.,0.123,,,,,,,,,,,
2099-01-08,20SE,1064.0,long-term avg.,0.138,,,,,,,,,,,
2099-01-08,21SE,812.0,long-term avg.,0.134,,,,,,,,,,,
2099-01-08,21SEcorral,610.0,long-term avg.,0.145,,,,,,,,,,,
2099-01-08,21SW,707.0,long-term avg.,0.138,,,,,,,,,,,
2099-01-08,23E,1002.0,long-term avg.,0.136,,,,,,,,,,,
2099-01-08,23W,942.0,long-term avg.,0.148,,,,,,,,,,,
2099-01-08,24 Grazing,905.0,long-term avg.,0.13,,,,,,,,,,,
2099-01-08,24E,1025.0,long-term avg.,0.134,,,,,,,,,,,
2099-01-08,24W,1021.0,long-term avg.,0.134,,,,,,,,,,,
2099-01-08,25SE,947.0,long-term avg.,0.133,,,,,,,,,,,
2099-01-08,26SE-N Pvt,1102.0,long-term avg.,0.136,,,,,,,,,,,
2099-01-08,26SW-N Pvt.,761.0,long-term avg.,0.138,,,,,,,,,,,
2099-01-08,28N,693.0,long-term avg.,0.137,,,,,,,,,,,
2099-01-08,31W,890.0,long-term avg.,0.135,,,,,,,,,,,
2099-01-08,32W,667.0,long-term avg.,0.136,,,,,,,,,,,
2099-01-08,6EE,719.0,long-term avg.,0.121,,,,,,,,,,,
2099-01-08,6EW,761.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-08,7NW,918.0,long-term avg.,0.125,,,,,,,,,,,
2099-01-08,CenterCreek,744.0,long-term avg.,0.134,,,,,,,,,,,
2099-01-08,CenterCreek - Longspur,908.0,long-term avg.,0.142,,,,,,,,,,,
2099-01-08,CenterCreek - Prairie Dog,841.0,long-term avg.,0.136,,,,,,,,,,,
2099-01-08,ESA,753.0,long-term avg.,0.151,,,,,,,,,,,
2099-01-08,HQ,630.0,long-term avg.,0.132,,,,,,,,,,,
2099-01-08,HighHawk,746.0,long-term avg.,0.137,,,,,,,,,,,
2099-01-08,HighHawk - Longspur,701.0,long-term avg.,0.129,,,,,,,,,,,
2099-01-08,HighHawk - Prairie Dog,764.0,long-term avg.,0.134,,,,,,,,,,,
2099-01-08,LTER1,765.0,long-term avg.,0.149,,,,,,,,,,,
2099-01-08,LTER2,762.0,long-term avg.,0.148,,,,,,,,,,,
2099-01-08,LTER3,698.0,long-term avg.,0.141,,,,,,,,,,,
2099-01-08,LTER4,653.0,long-term avg.,0.137,,,,,,,,,,,
2099-01-08,OwlCreek,924.0,long-term avg.,0.142,,,,,,,,,,,
2099-01-08,OwlCreek - Longspur,757.0,long-term avg.,0.133,,,,,,,,,,,
2099-01-08,OwlCreek - Prairie Dog,955.0,long-term avg.,0.14,,,,,,,,,,,
2099-01-08,PrairieRidge,855.0,long-term avg.,0.123,,,,,,,,,,,
2099-01-08,Pvt-12NE,621.0,long-term avg.,0.125,,,,,,,,,,,
2099-01-08,Pvt-14,780.0,long-term avg.,0.137,,,,,,,,,,,
2099-01-08,Pvt-30SW,907.0,long-term avg.,0.139,,,,,,,,,,,
2099-01-08,Pvt-8SW,691.0,long-term avg.,0.126,,,,,,,,,,,
2099-01-08,Res. #2,910.0,long-term avg.,0.149,,,,,,,,,,,
2099-01-08,SaltTree,957.0,long-term avg.,0.139,,,,,,,,,,,
2099-01-08,Slayton,690.0,long-term avg.,0.13,,,,,,,,,,,
2099-01-08,Spring,531.0,long-term avg.,0.163,,,,,,,,,,,
2099-01-08,UNK,840.0,long-term avg.,0.132,,,,,,,,,,,
2099-01-08,WeatherStation,895.0,long-term avg.,0.147,,,,,,,,,,,
2099-01-15,12C,660.0,long-term avg.,0.127,,,,,,,,,,,
