date,Pasture,NDVI,Year,Biomass,BARE,SD,GREEN,LITT
2099-01-01,10SNE,0.136,30-yr avg.,,,,,
2099-01-01,11NS,0.134,30-yr avg.,,,,,
2099-01-01,11NW,0.127,30-yr avg.,,,,,
2099-01-01,12C,0.131,30-yr avg.,,,,,
2099-01-01,12NE,0.127,30-yr avg.,,,,,
2099-01-01,12NW,0.13,30-yr avg.,,,,,
2099-01-01,13E,0.147,30-yr avg.,,,,,
2099-01-01,13W,0.14,30-yr avg.,,,,,
2099-01-01,14,0.141,30-yr avg.,,,,,
2099-01-01,15E,0.14,30-yr avg.,,,,,
2099-01-01,15NWS,0.137,30-yr avg.,,,,,
2099-01-01,15SW,0.142,30-yr avg.,,,,,
2099-01-01,17N,0.133,30-yr avg.,,,,,
2099-01-01,18N,0.147,30-yr avg.,,,,,
2099-01-01,19N,0.154,30-yr avg.,,,,,
2099-01-01,19S,0.146,30-yr avg.,,,,,
2099-01-01,1E,0.127,30-yr avg.,,,,,
2099-01-01,1W,0.127,30-yr avg.,,,,,
2099-01-01,20SE,0.143,30-yr avg.,,,,,
2099-01-01,21S,0.151,30-yr avg.,,,,,
2099-01-01,22E,0.156,30-yr avg.,,,,,
2099-01-01,22W,0.143,30-yr avg.,,,,,
2099-01-01,23E,0.139,30-yr avg.,,,,,
2099-01-01,23W,0.157,30-yr avg.,,,,,
2099-01-01,24E,0.142,30-yr avg.,,,,,
2099-01-01,24Strip,0.134,30-yr avg.,,,,,
2099-01-01,24W,0.139,30-yr avg.,,,,,
2099-01-01,25SE,0.137,30-yr avg.,,,,,
2099-01-01,26E,0.144,30-yr avg.,,,,,
2099-01-01,28N,0.143,30-yr avg.,,,,,
2099-01-01,29-30,0.147,30-yr avg.,,,,,
2099-01-01,30NW,0.14,30-yr avg.,,,,,
2099-01-01,30SW,0.144,30-yr avg.,,,,,
2099-01-01,31E,0.139,30-yr avg.,,,,,
2099-01-01,32W,0.142,30-yr avg.,,,,,
2099-01-01,5E,0.129,30-yr avg.,,,,,
2099-01-01,5W,0.125,30-yr avg.,,,,,
2099-01-01,6EE,0.123,30-yr avg.,,,,,
2099-01-01,6EW,0.127,30-yr avg.,,,,,
